filename,baseline_mse,baseline_mae,baseline_psnr,baseline_ssim,baseline_lpips,baseline_inference_ms,noise_aware_mse,noise_aware_mae,noise_aware_psnr,noise_aware_ssim,noise_aware_lpips,noise_aware_inference_ms
000626.npy,0.07500526309013367,0.2265763133764267,11.249082426035331,0.25067482081815673,0.554876446723938,12.106599999242462,0.07437220960855484,0.22516292333602905,11.285893201764562,0.262309955449049,0.5996936559677124,11.824399989563972
000449.npy,0.0006951083778403699,0.019514992833137512,31.57947493590744,0.8583259413866997,0.2789969742298126,12.132000003475696,0.0006517552537843585,0.0189372468739748,31.859154425914355,0.8638229150948524,0.3163200616836548,11.773400008678436
000192.npy,0.0015988546656444669,0.01926128752529621,27.961909985522453,0.8858541883932762,0.2648482322692871,12.113899996620603,0.001457221689634025,0.0170827005058527,28.364743628312326,0.9139290389006697,0.18473440408706665,11.79420000698883
000372.npy,0.0009410282946191728,0.024150928482413292,30.26397311471785,0.6503544739907384,0.4941069483757019,71.78860000567511,0.0009080837480723858,0.023754239082336426,30.41874097594048,0.6529933155286312,0.4991782009601593,71.17670000297949
002021.npy,0.002531734760850668,0.038824331015348434,25.965817746025014,0.677014733633576,0.29416000843048096,71.17999999900348,0.0023923804983496666,0.03771597892045975,26.211697346837806,0.6838640283741383,0.3007102608680725,70.67539999843575
002087.npy,0.002091691130772233,0.034513309597969055,26.795024504141686,0.600472963079758,0.36657944321632385,15.811499994015321,0.0020448227878659964,0.033972471952438354,26.89344328026565,0.5981004972964749,0.3869476020336151,15.653499998734333
000566.npy,0.00572874816134572,0.05886220186948776,22.41940273080147,0.5198176039548698,0.40371575951576233,15.851000003749505,0.005606084130704403,0.05823148787021637,22.51340420624007,0.5236091294702131,0.4076605439186096,15.549200004898012
000898.npy,0.0008537153480574489,0.019577428698539734,30.68686905094716,0.8934239150948524,0.15761637687683105,15.863199994782917,0.00071128667332232,0.016654957085847855,31.47955315586124,0.9121612477293014,0.1591770052909851,15.524600006756373
001482.npy,0.001326864119619131,0.02749422937631607,28.771735696626518,0.8007522439253777,0.23219098150730133,72.65850000840146,0.0012827577302232385,0.02753337472677231,28.91855348467115,0.7970623715616315,0.268751859664917,72.22190000175033
001635.npy,0.00041981058893725276,0.01504359021782875,33.76946621884852,0.9066831405633986,0.18588829040527344,12.185600004158914,0.0003334625798743218,0.013076337054371834,34.76952896120719,0.9227421390492916,0.20316728949546814,11.786499992012978
002390.npy,0.0035702933091670275,0.04076389968395233,24.472961070905782,0.5776803544089761,0.39689138531684875,12.03220000024885,0.0035587484017014503,0.04138169810175896,24.4870272733373,0.577923604957927,0.42000511288642883,11.752399994293228
001754.npy,0.004789283499121666,0.03350779414176941,23.197294450531505,0.804939385993632,0.14303438365459442,12.134099990362301,0.004153570160269737,0.031852759420871735,23.815784551852154,0.8266188869192135,0.1275191307067871,11.894900002516806
002394.npy,0.008715115487575531,0.06541614234447479,20.597268401524943,0.7066854145243102,0.2642676830291748,19.73549999820534,0.008349412120878696,0.06416934728622437,20.78344090013577,0.7191459541220413,0.29962271451950073,19.504099996993318
003059.npy,0.0010116408811882138,0.019127894192934036,29.949736050965278,0.8108283514513336,0.333941787481308,23.097700002836064,0.0009182854555547237,0.01739048957824707,30.370223100826227,0.8473117261449096,0.28842148184776306,22.721600005752407
001076.npy,0.004379270598292351,0.051370769739151,23.585982189318607,0.6248611166160624,0.39158785343170166,25.21990000968799,0.004192237742245197,0.05026458203792572,23.77554101113663,0.6408773467259407,0.38306668400764465,24.90800000668969
002207.npy,0.009518766775727272,0.06438951939344406,20.21419281490802,0.8324766619322151,0.15724168717861176,29.56379999523051,0.007882333360612392,0.058456096798181534,21.033452023195593,0.8576748692464586,0.17189660668373108,29.17330000491347
002299.npy,0.0015511828241869807,0.029079142957925797,28.093370104176824,0.7474339911354557,0.21767957508563995,74.34300000022631,0.0014497179072350264,0.02802356332540512,28.38716496914821,0.7568923959754147,0.23080724477767944,73.8227999972878
003051.npy,0.00037697525112889707,0.014046323485672474,34.23687181179484,0.8990631140828133,0.2513091564178467,71.0045000014361,0.00029494924820028245,0.012608026154339314,35.302527096044976,0.9328401397659779,0.2223111242055893,46.76100000506267
001010.npy,0.0011921407422050834,0.024671409279108047,29.236724744523123,0.8558429630456492,0.20322416722774506,15.55460000236053,0.00114436075091362,0.025237249210476875,29.414370502805237,0.8722675183054059,0.19245225191116333,15.259399995557033
003192.npy,0.0006979384925216436,0.014985227026045322,31.56182849286735,0.9134752084228992,0.1033182442188263,15.689699997892603,0.0006075628334656358,0.014668107032775879,32.16408806123967,0.9196053631382212,0.10346993803977966,15.454899999895133
001084.npy,0.00040866804192774,0.012337984517216682,33.8862929977363,0.9383573882448674,0.05112724006175995,15.573299999232404,0.000363286177162081,0.01139410026371479,34.3975108617438,0.9440655082931518,0.054799363017082214,15.252099998178892
000585.npy,0.0024716388434171677,0.039116889238357544,26.070149853715215,0.4133214461531928,0.6820386648178101,19.93670000229031,0.0023838907945901155,0.03848578780889511,26.227136432314037,0.40442843151973934,0.7022318840026855,26.406899996800348
001879.npy,0.0004940400249324739,0.016036495566368103,33.06237885686233,0.8263217838110095,0.41817599534988403,31.47069999249652,0.0004158425726927817,0.015043394640088081,33.810710574383876,0.848998773660183,0.3836342990398407,31.05959999084007
002633.npy,0.00448997039347887,0.05183342099189758,23.47756492914403,0.3512401518775463,0.810710072517395,74.25920000241604,0.004429486580193043,0.051466528326272964,23.5364657107155,0.33458392546569554,0.8358656167984009,73.84789999923669
001620.npy,0.0009599545155651867,0.01831747032701969,30.177493332872114,0.8730534852984362,0.135620579123497,71.25449999875855,0.0008563267765566707,0.017341747879981995,30.673604681241507,0.8828739266903997,0.1460736095905304,70.88379999913741
002044.npy,0.003767305053770542,0.039188697934150696,24.23969179029576,0.7767773264513314,0.2884741425514221,14.944599999580532,0.003554901108145714,0.036136798560619354,24.49172461333879,0.8042810194292161,0.27687084674835205,14.654899991001002
002684.npy,0.0033404927235096693,0.0390496626496315,24.761894566809115,0.7205818545373639,0.1984865665435791,14.998500002548099,0.003123763483017683,0.03781558573246002,25.053218290466237,0.7291174751443539,0.21337290108203888,14.74939999752678
000870.npy,0.0035812731366604567,0.047649189829826355,24.459625616541384,0.3032333685021745,0.8296102285385132,14.987899994594045,0.0034849124494940042,0.04702012240886688,24.57808148763563,0.2945786868917048,0.83492112159729,14.731799994478934
001288.npy,0.00046585340169258416,0.013111954554915428,33.31750746722621,0.8989386729405522,0.13379909098148346,14.99090000288561,0.00038281967863440514,0.012100091204047203,34.170057635536295,0.912200838416636,0.13699404895305634,14.653599995654076
002940.npy,0.006749994587153196,0.05387997627258301,21.706965574039575,0.7239801729999408,0.29347318410873413,23.25879999261815,0.0065179504454135895,0.052538804709911346,21.85888937813358,0.7385428729951419,0.29864978790283203,22.912199987331405
002323.npy,0.0033054151572287083,0.03616252541542053,24.807740007079182,0.8046415645466513,0.16081734001636505,73.5090000089258,0.0029682256281375885,0.034377217292785645,25.275031070624774,0.8164304985318389,0.18052798509597778,73.079299996607
000864.npy,0.01087973453104496,0.07222162932157516,19.633816770358653,0.6873893811896286,0.30441251397132874,71.03559999086428,0.010379807092249393,0.07085807621479034,19.838107048085657,0.7023583416532557,0.3210311830043793,70.74530000681989
000271.npy,0.0021360493265092373,0.022620879113674164,26.703887011426147,0.8111091729615331,0.2668418288230896,12.511199995060451,0.002016747370362282,0.022070106118917465,26.953484751678296,0.8185676449875832,0.2850519120693207,12.266599995200522
001096.npy,0.002446621423587203,0.03328371047973633,26.11433225199103,0.7673956040452122,0.25075098872184753,12.500199998612516,0.002349423011764884,0.03217030316591263,26.290387635784516,0.7698683104595467,0.26941922307014465,12.342200003331527
001643.npy,0.0004340038285590708,0.014841165393590927,33.62506439708122,0.822441886411475,0.24103394150733948,12.528100007330067,0.0004153607878834009,0.014733036048710346,33.815744982045224,0.8233725825591087,0.276625394821167,12.216200004331768
001292.npy,0.0024379752576351166,0.03617184981703758,26.129706683430154,0.7761978702028617,0.203807070851326,20.157899998594075,0.0022603399120271206,0.03498971089720726,26.45826282339675,0.7868875100011667,0.2225271314382553,20.205000007990748
000131.npy,0.004235877655446529,0.0498177669942379,23.730565782723062,0.7924851148501932,0.2223854809999466,23.503700009314343,0.0037846656050533056,0.0470135398209095,24.21972484736006,0.8099517332599908,0.2299460768699646,23.224599994136952
000938.npy,0.0005384478718042374,0.017368465662002563,32.688563396800575,0.7904977560565993,0.3682836890220642,25.79850000620354,0.000518725486472249,0.016935152933001518,32.85062420872138,0.797100676813066,0.3826923668384552,25.51750000566244
000229.npy,0.008520848117768764,0.06937510520219803,20.695171860223816,0.7338478230536585,0.23260779678821564,74.61680000415072,0.00798838771879673,0.06694146990776062,20.97540855948891,0.7483460536242929,0.2638278007507324,74.11399998818524
001328.npy,0.0007239581318572164,0.017924048006534576,31.402865924101242,0.8525847128579281,0.23094742000102997,11.99290000658948,0.0006325962604023516,0.01687277853488922,31.98873397444015,0.8685743927134871,0.22040238976478577,11.69810000283178
002804.npy,0.0018650649581104517,0.03098313882946968,27.29306039662736,0.7352392958123087,0.2568768858909607,11.99139999516774,0.001813676324672997,0.03033038228750229,27.41440214754862,0.7399338246658742,0.2768794298171997,11.752300008083694
000899.npy,0.000767780002206564,0.017834758386015892,31.147632216187958,0.9047140564751625,0.15017889440059662,12.048000004142523,0.0006772646447643638,0.01588795892894268,31.69241624924185,0.9204552087094784,0.15814834833145142,11.79430000775028
002281.npy,0.0033466219902038574,0.04076036438345909,24.753933187898692,0.8177019046520875,0.1584799736738205,11.996600005659275,0.0028686807490885258,0.037964947521686554,25.42317753345568,0.8309393033389738,0.16545027494430542,11.71809999505058
002818.npy,0.0018846624298021197,0.03286620229482651,27.2476642364445,0.6396054259865992,0.383659303188324,21.32109999365639,0.0018657471518963575,0.03274640068411827,27.291472227791807,0.6338383798520565,0.40243732929229736,21.00849999987986
002621.npy,0.000811554491519928,0.01943492889404297,30.906823074174138,0.7958879194155335,0.2908397614955902,71.8602999986615,0.0007961424998939037,0.018869196996092796,30.990091621147897,0.8037737531360388,0.2717074155807495,60.39959999907296
001105.npy,0.0017692665569484234,0.024029817432165146,27.52206739408027,0.7626555392667651,0.3051356375217438,17.142600001534447,0.0016434452263638377,0.023317404091358185,27.84244774999859,0.7695128951922842,0.32867854833602905,16.810400004033
001554.npy,0.0026791980490088463,0.033387694507837296,25.719951525476677,0.7141771376086912,0.2934875786304474,17.172899999422953,0.002470677252858877,0.03240639343857765,26.071840077055842,0.7208086981726046,0.3159645199775696,16.857700000400655
001893.npy,0.0037216823548078537,0.038419730961322784,24.2926072492366,0.7431590620454317,0.19609612226486206,17.174699998577125,0.003331388346850872,0.03582950308918953,24.773747592728625,0.7759867740880437,0.17576614022254944,16.90569998754654
000669.npy,0.0017563975416123867,0.030058201402425766,27.55377180892215,0.680014972849492,0.3253224790096283,26.407700002891943,0.001730804331600666,0.029382910579442978,27.617520227037584,0.674901786475271,0.36393749713897705,26.036499999463558
